Day,Date,Invested,Rollup,Share price,Shares,Stock,THB invested,Text,USDTHB,📕 Monthly Overview
"@March 4, 2025 ","March 4, 2025",$590.84,32.37,$53.96,10.9495922,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),19125.4908,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21)
"@April 3, 2025 ","April 3, 2025",$292.05,32.37,$49.93,5.8495039,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),9453.6585,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21)
"@May 5, 2025 ","May 5, 2025","$1,568.12",32.37,$51.52,30.4399689,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),50760.0444,THB + ปันผล,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21)
"@July 16, 2025 ","September 14, 2025",$101.00,32.37,$54.55,1.8515123,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),3269.37,ปันผล,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21)
"@September 15, 2025 ","September 16, 2025",$628.53,32.37,$56.66,11.0930109,NVO (https://app.notion.com/p/NVO-2700423c142680b89cc7cd56ce4a0fcc?pvs=21),20345.5161,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),September 25 (https://app.notion.com/p/September-25-1680423c142680febd5ad64882b3e363?pvs=21)
"@September 24, 2025 ","September 25, 2025",$900.00,32.37,$57.09,15.765963,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),29133,FCD,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),September 25 (https://app.notion.com/p/September-25-1680423c142680febd5ad64882b3e363?pvs=21)
"@October 15, 2025 ","October 15, 2025",$611.80,32.37,$180.32,3.3928571,NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),19803.966,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21)
"@October 15, 2025 ","October 15, 2025",$103.68,32.37,$57.36,1.8075944,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),3356.1216,ปันผล,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21)
"@January 13, 2026 ","January 15, 2026",$131.89,32.37,$258.24,0.5107264,QQQM (https://app.notion.com/p/QQQM-2e90423c142680259e67ca55b5be33e3?pvs=21),4269.2793,ปันผล,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21)
"@February 4, 2026 ","May 31, 2026",$314.96,32.37,$48.10,6.5480249,NVO (https://app.notion.com/p/NVO-2700423c142680b89cc7cd56ce4a0fcc?pvs=21),10195.2552,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21)
"@June 12, 2026 ","June 12, 2026",$246.06,32.37,$205.68,1.1963011,NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),7964.9622,ปันผล,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21)
