Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
DF cost,Yes,THB 510.00,THB 510.00,On duty,"February 11, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"February 15, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
DF cost,Yes,THB 990.00,THB 990.00,On duty,"February 15, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"February 20, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),👝เงินเวรเหมา_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680018279c05bc619a0f0?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"February 20, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"February 20, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
เงินเดือน,Yes,"THB 24,220.00","THB 24,220.00",Salary,"February 26, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🏧เงินเดือนจาก สสจ._FEB25 (https://app.notion.com/p/_FEB25-1680423c142680fd9bc0e559e412acf6?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"March 10, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),👍🏼เงิน top up_MAR25 (https://app.notion.com/p/top-up_MAR25-1680423c142680acb353d8bd71848a5f?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"March 26, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),👍🏼เงิน top up_MAR25 (https://app.notion.com/p/top-up_MAR25-1680423c142680acb353d8bd71848a5f?pvs=21)
Credit เงินคืน Uniqlo,Yes,"THB 1,050.00","THB 1,050.00",Extra,"March 1, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),👍🏼เงิน top up_FEB25 (https://app.notion.com/p/top-up_FEB25-1680423c142680f49684cfe8b84d0c8f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"March 10, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),⌚เงินรายชั่วโมง_MAR25 (https://app.notion.com/p/_MAR25-1680423c142680f2a134fd7692cf5d30?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"March 10, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🤷‍♂️เงิน DF_MAR25 (https://app.notion.com/p/DF_MAR25-1680423c14268034b036f3c047bf9c86?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,200.00","THB 1,200.00",Top up,"March 16, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),👍🏼เงิน top up_MAR25 (https://app.notion.com/p/top-up_MAR25-1680423c142680acb353d8bd71848a5f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"March 16, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),⌚เงินรายชั่วโมง_MAR25 (https://app.notion.com/p/_MAR25-1680423c142680f2a134fd7692cf5d30?pvs=21)
DF cost,Yes,THB 210.00,THB 210.00,On duty,"March 16, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🤷‍♂️เงิน DF_MAR25 (https://app.notion.com/p/DF_MAR25-1680423c14268034b036f3c047bf9c86?pvs=21)
ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Yes,"THB 2,000.00","THB 2,000.00",Top up,"March 23, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),👍🏼เงิน top up_MAR25 (https://app.notion.com/p/top-up_MAR25-1680423c142680acb353d8bd71848a5f?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"April 5, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),💉TTCM_APR25 (https://app.notion.com/p/TTCM_APR25-1680423c142680bc9752d0c445ae8651?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"March 23, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),⌚เงินรายชั่วโมง_MAR25 (https://app.notion.com/p/_MAR25-1680423c142680f2a134fd7692cf5d30?pvs=21)
DF cost,Yes,THB 690.00,THB 690.00,On duty,"March 23, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🤷‍♂️เงิน DF_MAR25 (https://app.notion.com/p/DF_MAR25-1680423c14268034b036f3c047bf9c86?pvs=21)
เงินเดือน,Yes,"THB 24,220.00","THB 24,220.00",Salary,"March 26, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🏧เงินเดือนจาก สสจ._MAR25 (https://app.notion.com/p/_MAR25-1680423c142680fd95e6e6bb343c12e8?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"March 26, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),⌚เงินรายชั่วโมง_MAR25 (https://app.notion.com/p/_MAR25-1680423c142680f2a134fd7692cf5d30?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"March 26, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🤷‍♂️เงิน DF_MAR25 (https://app.notion.com/p/DF_MAR25-1680423c14268034b036f3c047bf9c86?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,100.00","THB 1,100.00",Top up,"April 1, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
เงินประจำตำแหน่ง + ตกเบิก,Yes,"THB 36,580.65","THB 36,580.65",Salary,"April 1, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),🏧เงินเดือนจาก สสจ._MAR25 (https://app.notion.com/p/_MAR25-1680423c142680fd95e6e6bb343c12e8?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 1, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
DF cost,Yes,THB 210.00,THB 210.00,On duty,"April 1, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"April 24, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 2, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"April 2, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"April 22, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
DF cost,Yes,THB 330.00,THB 330.00,On duty,"April 9, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 9, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,200.00","THB 1,200.00",Top up,"April 20, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,100.00","THB 1,100.00",Top up,"April 2, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,100.00","THB 1,100.00",Top up,"April 9, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Yes,"THB 2,200.00","THB 2,200.00",Top up,"April 27, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👍🏼เงิน top up_APR25 (https://app.notion.com/p/top-up_APR25-1680423c142680c38576c9455e7c8d2c?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"April 20, 2025",March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),👝เงินเวรเหมา_MAR25 (https://app.notion.com/p/_MAR25-1680423c142680adaa6bd1c3c3e6c287?pvs=21)
DF,Yes,THB 510.00,THB 510.00,On duty,"April 20, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 20, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"May 25, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),💉TTCM_MAY25 (https://app.notion.com/p/TTCM_MAY25-1680423c1426802783eadb712790147f?pvs=21)
DF cost,Yes,THB 480.00,THB 480.00,On duty,"April 22, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 22, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"April 24, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
DF cost,Yes,THB 480.00,THB 480.00,On duty,"April 24, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
เงินเดือน+ประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"April 26, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🏧เงินเดือนจาก สสจ._APR25 (https://app.notion.com/p/_APR25-1680423c142680cab601f96e81f12986?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"April 27, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),⌚เงินรายชั่วโมง_APR25 (https://app.notion.com/p/_APR25-1680423c14268034ab97f053063fad29?pvs=21)
DF cost,Yes,THB 540.00,THB 540.00,On duty,"April 27, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),🤷‍♂️เงิน DF_APR25 (https://app.notion.com/p/DF_APR25-1680423c142680a3b2e3c4fbec6c5801?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"April 20, 2025",April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),👝เงินเวรเหมา_APR25 (https://app.notion.com/p/_APR25-1680423c142680628f1ed4e4ec7e881a?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,600.00","THB 1,600.00",Top up,"May 3, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),👍🏼เงิน top up_MAY25 (https://app.notion.com/p/top-up_MAY25-1680423c14268087b3a5eeb823aa093c?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"May 3, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),⌚เงินรายชั่วโมง_MAY25 (https://app.notion.com/p/_MAY25-1680423c142680f19f81dfd09e8f89cd?pvs=21)
DF cost,Yes,THB 420.00,THB 420.00,On duty,"May 3, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),🤷‍♂️เงิน DF_MAY25 (https://app.notion.com/p/DF_MAY25-1680423c14268056b2b6c4036779aa07?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"May 8, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),👍🏼เงิน top up_MAY25 (https://app.notion.com/p/top-up_MAY25-1680423c14268087b3a5eeb823aa093c?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"May 8, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),⌚เงินรายชั่วโมง_MAY25 (https://app.notion.com/p/_MAY25-1680423c142680f19f81dfd09e8f89cd?pvs=21)
DF cost,Yes,THB 390.00,THB 330.00,On duty,"May 8, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),🤷‍♂️เงิน DF_MAY25 (https://app.notion.com/p/DF_MAY25-1680423c14268056b2b6c4036779aa07?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"May 13, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),👍🏼เงิน top up_MAY25 (https://app.notion.com/p/top-up_MAY25-1680423c14268087b3a5eeb823aa093c?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"May 13, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),⌚เงินรายชั่วโมง_MAY25 (https://app.notion.com/p/_MAY25-1680423c142680f19f81dfd09e8f89cd?pvs=21)
DF cost,Yes,THB 390.00,THB 390.00,On duty,"May 13, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),🤷‍♂️เงิน DF_MAY25 (https://app.notion.com/p/DF_MAY25-1680423c14268056b2b6c4036779aa07?pvs=21)
เงินเดือน + เงินประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"May 26, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),🏧เงินเดือนจาก สสจ._MAY25 (https://app.notion.com/p/_MAY25-1680423c142680628952eb81375540ec?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"May 31, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),⌚เงินรายชั่วโมง_MAY25 (https://app.notion.com/p/_MAY25-1680423c142680f19f81dfd09e8f89cd?pvs=21)
DF cost,Yes,THB 750.00,THB 750.00,On duty,"May 31, 2025",May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),🤷‍♂️เงิน DF_MAY25 (https://app.notion.com/p/DF_MAY25-1680423c14268056b2b6c4036779aa07?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"June 21, 2025",June 25 (https://app.notion.com/p/June-25-1680423c142680e9a46cf1c140fcae4a?pvs=21),💉TTCM_JUN25 (https://app.notion.com/p/TTCM_JUN25-1680423c142680e990dcc129b8a9970d?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"July 6, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),💉TTCM_JUL25 (https://app.notion.com/p/TTCM_JUL25-1680423c14268002bfd9fe29d76acd42?pvs=21)
เงินเดือน + เงินประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"June 26, 2025",June 25 (https://app.notion.com/p/June-25-1680423c142680e9a46cf1c140fcae4a?pvs=21),🏧เงินเดือนจาก สสจ._JUN25 (https://app.notion.com/p/_JUN25-1680423c1426804fa419c595b705df9f?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"July 9, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),👍🏼เงิน top up_JUL25 (https://app.notion.com/p/top-up_JUL25-1680423c142680bf9e67e2e238f5bb48?pvs=21)
ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Yes,"THB 2,000.00","THB 2,000.00",Top up,"July 19, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),👍🏼เงิน top up_JUL25 (https://app.notion.com/p/top-up_JUL25-1680423c142680bf9e67e2e238f5bb48?pvs=21)
DF cost,Yes,THB 510.00,THB 510.00,On duty,"July 9, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),🤷‍♂️เงิน DF_JUL25 (https://app.notion.com/p/DF_JUL25-1680423c142680e4bf65ed57d5ce16e6?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"July 9, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),⌚เงินรายชั่วโมง_JUL25 (https://app.notion.com/p/_JUL25-1680423c1426805c8e8ceba452a9f1ef?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"July 19, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),⌚เงินรายชั่วโมง_JUL25 (https://app.notion.com/p/_JUL25-1680423c1426805c8e8ceba452a9f1ef?pvs=21)
DF cost,Yes,THB 780.00,THB 780.00,On duty,"July 19, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),🤷‍♂️เงิน DF_JUL25 (https://app.notion.com/p/DF_JUL25-1680423c142680e4bf65ed57d5ce16e6?pvs=21)
เงินเดือน + เงินประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"July 26, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),🏧เงินเดือนจาก สสจ._JUL25 (https://app.notion.com/p/_JUL25-1680423c14268099bfaccc169037e396?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"August 3, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),💉TTCM_AUG25 (https://app.notion.com/p/TTCM_AUG25-1680423c142680408ba5eb3146202dc3?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"August 14, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),👍🏼เงิน top up_AUG25 (https://app.notion.com/p/top-up_AUG25-1680423c14268091b11fcb1ec5e8f31b?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"August 18, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),👍🏼เงิน top up_AUG25 (https://app.notion.com/p/top-up_AUG25-1680423c14268091b11fcb1ec5e8f31b?pvs=21)
ค่าชดเชยอุบัติเหตุ,Yes,"THB 13,000.00","THB 13,000.00",Extra,"August 11, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),👍🏼เงิน top up_AUG25 (https://app.notion.com/p/top-up_AUG25-1680423c14268091b11fcb1ec5e8f31b?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"August 14, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),⌚เงินรายชั่วโมง_AUG25 (https://app.notion.com/p/_AUG25-1680423c142680df99b0fbb57df7bc39?pvs=21)
DF cost,Yes,THB 330.00,THB 330.00,On duty,"August 14, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),🤷‍♂️เงิน DF_AUG25 (https://app.notion.com/p/DF_AUG25-1680423c142680b4a14afd791384c282?pvs=21)
DF cost,Yes,THB 810.00,THB 540.00,On duty,"August 18, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),🤷‍♂️เงิน DF_AUG25 (https://app.notion.com/p/DF_AUG25-1680423c142680b4a14afd791384c282?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"August 18, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),⌚เงินรายชั่วโมง_AUG25 (https://app.notion.com/p/_AUG25-1680423c142680df99b0fbb57df7bc39?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"August 20, 2025",July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),👝เงินเวรเหมา_JUL25 (https://app.notion.com/p/_JUL25-1680423c142680838f8bc92559715b37?pvs=21)
เงินเดือน + เงินประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"August 26, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),🏧เงินเดือนจาก สสจ._AUG25 (https://app.notion.com/p/_AUG25-1680423c142680de87c4e2969dea614a?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"September 20, 2025",August 25 (https://app.notion.com/p/August-25-1680423c1426809bae24d3e1dd24ed82?pvs=21),👝เงินเวรเหมา_AUG25 (https://app.notion.com/p/_AUG25-1680423c1426800da82ef96d8cbc7bbd?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"October 25, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),💉TTCM_OCT25 (https://app.notion.com/p/TTCM_OCT25-1680423c142680298e80c6468e654e40?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"October 5, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),💉TTCM_OCT25 (https://app.notion.com/p/TTCM_OCT25-1680423c142680298e80c6468e654e40?pvs=21)
เงินเดือน + เงินประจำตำแหน่ง,Yes,"THB 27,720.00","THB 27,720.00",Salary,"September 26, 2025",September 25 (https://app.notion.com/p/September-25-1680423c142680febd5ad64882b3e363?pvs=21),🏧เงินเดือนจาก สสจ._SEP25 (https://app.notion.com/p/_SEP25-1680423c142680cdafbfff9d67eb7ca9?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"October 1, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),👍🏼เงิน top up_OCT25 (https://app.notion.com/p/top-up_OCT25-1680423c1426807caa59e99ddae169b9?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"October 9, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),👍🏼เงิน top up_OCT25 (https://app.notion.com/p/top-up_OCT25-1680423c1426807caa59e99ddae169b9?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"October 15, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),👍🏼เงิน top up_OCT25 (https://app.notion.com/p/top-up_OCT25-1680423c1426807caa59e99ddae169b9?pvs=21)
ซื้อ OPD นอกเวลา 8ชั่วโมง,Yes,"THB 2,400.00","THB 2,400.00",Top up,"October 22, 2025",October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),👍🏼เงิน top up_OCT25 (https://app.notion.com/p/top-up_OCT25-1680423c1426807caa59e99ddae169b9?pvs=21)
